Price,Close,High,Low,Open,Volume
Ticker,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS
Date,,,,,
2007-10-05,32.38557434082031,35.2507003581886,26.76799662291043,28.908793360303974,855215656
2007-10-08,30.72767448425293,33.480126947172145,30.534519082817503,33.480126947172145,126671715
2007-10-09,32.82018280029297,33.10991372744685,29.085860943707615,30.743769817332836,116725709
2007-10-10,33.12599182128906,33.802033183580555,32.836261056413925,33.673262256712725,67931378
2007-10-11,36.828125,38.630900838195814,32.83626702237896,38.630900838195814,106320954
2007-10-12,36.58668518066406,37.95486273117044,35.73358711068223,36.05551124021314,99410791
2007-10-15,37.069580078125,37.56856521587449,36.747655873012995,37.3432165257455,41814972
2007-10-16,40.8521842956543,41.49603699041757,36.86032553292788,37.117863117732455,138614496
2007-10-17,44.03922653198242,45.06938099237755,34.15615311388379,36.699354715589536,204876259
2007-10-18,42.49399948120117,48.11157803502763,40.675128780773825,44.747468687558325,146617799
2007-10-19,42.349124908447266,44.07141964355362,40.240519523202614,41.52821586849711,110266491
2007-10-22,41.78577423095703,43.08956554802296,40.40149749420485,41.49604331231755,72253405
2007-10-23,44.76356887817383,45.1659741058401,42.81592495644339,42.81592495644339,74594921
2007-10-24,44.07142639160156,46.1961265599384,43.57244136157235,45.713235990139744,63055170
2007-10-25,43.974853515625,45.00501265976489,38.84016099046487,42.574482430001666,34522489
2007-10-26,45.29473114013672,46.01906036179189,43.540243056688624,44.74745842611391,62370025
2007-10-29,46.21221160888672,47.32285139712434,45.809806521318684,46.035155116906644,43657697
2007-10-30,47.24237823486328,48.51397590318908,45.45569672915499,46.839973080385114,79921711
2007-10-31,48.22425079345703,49.28660314729394,47.322864886906835,47.48382696781765,44655368
2007-11-01,47.145782470703125,49.78556113995345,46.759476272571256,49.4153493960202,50632492
2007-11-02,47.998897552490234,48.28863276357732,45.06938708623845,45.43960333009962,32001693
2007-11-05,48.98075866699219,50.059205156946895,47.67696358521128,47.96669873652342,38833135
2007-11-06,49.62460708618164,52.763366735148516,48.94856567312924,49.833856856171174,81880281
2007-11-07,48.90029525756836,51.25034002932942,47.80575391683548,50.542109451855744,33593141
2007-11-08,48.06328201293945,49.36707730640477,47.000934173560566,47.64478240745693,27990521
2007-11-12,49.22220993041992,50.09140679667139,45.343021683779455,46.61462369804081,35153735
2007-11-13,50.397247314453125,51.41130772051285,48.46570202048159,50.05922863455875,43830531
2007-11-14,49.73728561401367,51.990754271646175,49.47974371903069,51.28251951841168,36738579
2007-11-15,50.57429122924805,51.45958252432335,49.624613366162656,50.670866714888014,29242252
2007-11-16,50.22017288208008,51.363001694693445,49.640706880144016,50.348941649274174,18895294
2007-11-19,52.03905487060547,53.92231215880058,50.976706844636965,51.36301323300003,40716718
2007-11-20,51.23422622680664,53.27844487517474,50.60647256507074,51.82978660936066,26342171
2007-11-21,47.24237823486328,51.8458914555434,46.099544976320054,51.540066157965214,26814499
2007-11-22,45.61665344238281,48.64274334234919,43.63682118776109,46.74338774281182,34096185
2007-11-23,48.64274597167969,48.932476791318976,45.9063867277806,48.61055268808086,27664090
2007-11-26,49.0290641784668,50.445529703313106,48.64275778062298,50.445529703313106,20159123
2007-11-27,47.82184600830078,49.86606532697377,47.322865299675314,49.86606532697377,20573198
2007-11-28,47.113609313964844,49.09344634450187,46.79168516153616,48.868097691251485,16435311
2007-11-29,45.84199905395508,48.54616032503475,45.24643866079255,48.288622819741285,25530967
2007-11-30,47.61259078979492,47.902321631919094,46.0351634347852,46.67901169122798,18437721
2007-12-03,48.288631439208984,48.884191938678406,47.82183971537137,48.1920515827036,16851227
2007-12-04,47.66087341308594,49.01295635284191,47.30675603682842,48.61055123581632,14008727
2007-12-05,49.56023406982422,49.73729497464344,47.64478797017189,47.7413634699818,27725290
2007-12-06,48.64274597167969,51.39519530781554,48.01499222381532,50.63867279193095,24104710
2007-12-07,48.43348693847656,49.640702204158956,47.564294567010045,48.94856632510932,11742386
2007-12-10,48.48179626464844,49.077352514181285,47.854042356943395,48.90029595886766,8330010
2007-12-11,48.256446838378906,49.19002608769424,48.01500370322618,48.916389661245915,11685950
2007-12-12,48.22425079345703,48.65884928519141,47.322864886906835,47.64478904872846,16342131
2007-12-13,47.4194450378418,48.93249049329075,47.24238847803187,48.288642106525465,14620172
2007-12-14,46.952640533447266,47.69306859813399,46.71119745360107,47.25847018113583,10991851
2007-12-17,44.11973190307617,47.48384222133577,43.459784539517464,47.226300189321165,19355678
2007-12-18,43.92656707763672,45.39132042469129,42.558389242950625,43.62073734450929,21607783
2007-12-19,43.12175369262695,45.7293403817135,42.75154176489192,45.343029625413244,19526912
2007-12-20,42.68715286254883,44.03923606971298,42.493997494900256,43.68511862341991,17105204
2007-12-24,43.99094772338867,44.68308377890754,42.97688314856657,43.331000590061926,16711519
2007-12-26,45.3269157409668,45.87418835016043,44.232374888953714,44.232374888953714,20930094
2007-12-27,45.64884948730469,46.904352624787386,45.26253881436765,46.2605044141424,44565277
2007-12-28,46.002967834472656,46.19612317496375,45.06938441649492,45.55227058453504,18354518
2007-12-31,46.34098815917969,46.61462453803237,45.777620941814014,46.35708698521536,11982308
2008-01-01,47.19408416748047,47.628682589582,46.14783080919445,46.58242923129599,16687746
2008-01-02,46.93654251098633,47.54819739354801,46.24440660791983,47.194080030051836,13437280
2008-01-03,48.868106842041016,49.06126224294266,46.08346327537005,46.64683064761351,31815218
2008-01-04,48.610565185546875,50.22018611556072,48.28864099954411,49.576337743555186,28011310
2008-01-07,48.208152770996094,49.318788427417495,47.69307327685293,48.30472826585863,15858063
2008-01-08,46.56634521484375,48.932488829004434,46.00297789558532,48.256447172619076,13282666
2008-01-09,45.825904846191406,46.82387042086799,45.71323053888719,46.614620630945886,13113527
2008-01-10,44.73137283325195,47.32286495972949,44.42554313250042,46.035168310461415,18023003
2008-01-11,45.40742874145508,45.842027370668,43.620746458330224,45.343042142172685,11629440
2008-01-14,46.09956359863281,46.5824499790727,44.763578819357896,45.48790839001772,10264240
2008-01-15,44.69916534423828,47.033114779614976,44.328953548453434,46.83996383668341,11558334
2008-01-16,43.78169250488281,44.74746494103277,42.67105682313576,44.37725304711709,14834065
2008-01-17,44.956722259521484,45.95468805298553,43.00907842448863,43.94265763784171,16169395
2008-01-18,42.864200592041016,44.634782912837544,42.49398443186578,44.586490810988956,13254156
2008-01-21,35.5726318359375,42.49400194198706,30.985209931297906,42.49400194198706,33202389
2008-01-22,31.999267578125,33.80204364681696,25.415917126882906,32.06365196989518,58755707
2008-01-23,35.5726318359375,36.940809647598456,32.51435202163653,32.51435202163653,28425991
2008-01-24,35.653114318847656,38.1802201930335,33.96301224817499,37.488084027842845,29911930
2008-01-25,37.48808670043945,37.66514327867727,35.97504108751403,37.343219051789035,12550722
2008-01-28,37.89048767089844,38.18021856884184,33.96301080338392,36.97300285543077,13601109
2008-01-29,37.262733459472656,38.53433574745335,36.69936613099093,37.98706288180631,7679877
2008-01-30,35.20241165161133,37.50416820518528,34.73561993737856,37.34320614736367,9016102
2008-01-31,32.900657653808594,35.669206320392696,32.51434909603098,35.572628635151304,41538563
2008-02-01,34.043479919433594,34.284922977495185,33.158188706541104,33.464016143448305,9089201
2008-02-04,35.797969818115234,36.2164716034812,34.68733206005035,34.68733206005035,12009385
2008-02-05,36.90861892700195,37.39150524711784,35.08974799450744,35.86236523341754,14593303
2008-02-06,36.58668518066406,37.02128362880588,34.5424682680554,35.894549175447686,12429218
2008-02-07,34.864383697509766,37.32710398378537,34.639037299708725,36.0876955210989,11300078
2008-02-08,33.96299743652344,35.379462442837216,33.335243766064984,35.08973165892353,13514197
